Date,videoid,Views,Avg_duration,Earnings,vidviews,likes,dislikes,comments,startdate,daysactive
9/2/12,27,9,3.7,0.04,24085,137,6,31,3/10/10,1109
9/2/12,39,6,5.54,0,11422,96,2,32,8/16/10,950
9/2/12,R13,1,0,0,1739,9,0,1,4/14/11,709
9/2/12,44,21,3.77,0,21913,232,0,34,11/15/10,859
9/2/12,41,10,5.34,0,14982,166,1,26,3/12/10,1107
9/2/12,7,27,4.99,0.08,52310,580,10,65,9/29/09,1271
9/2/12,16a,11,2.51,0,11263,74,1,13,11/9/09,1230
9/2/12,34,6,2.37,0,10359,35,1,9,6/7/10,1020
9/2/12,37,10,5.45,0.06,21085,211,1,32,8/6/10,960
9/2/12,23,14,1.19,0.01,23980,75,4,18,1/27/10,1151
9/2/12,6b,15,3.39,0,11826,97,4,20,11/21/10,853
9/2/12,E16,10,2.06,0,6818,30,0,3,12/29/10,815
9/2/12,32,5,3,0.01,13032,87,0,11,6/7/10,1020
9/2/12,Reg1,23,4.88,0.01,23308,67,4,23,9/20/09,1280
9/2/12,24a,19,3.86,0.03,18345,100,2,31,2/8/10,1139
9/2/12,R14,1,14.91,0,800,7,0,0,4/19/11,704
9/2/12,8,19,2.75,0.01,28254,164,4,25,10/2/09,1268
9/2/12,17,4,4.56,0,19284,194,1,23,11/17/09,1222
9/2/12,R11,1,1.75,0,1164,9,0,0,4/3/11,720
9/2/12,21,10,4.3,0,18107,131,1,23,1/23/10,1155
9/2/12,35a,7,4.39,0,16629,68,3,20,7/6/10,991
9/2/12,R8,2,0.55,0,1796,17,0,1,4/9/11,714
9/2/12,20,14,2.05,0,29020,113,8,15,1/15/10,1163
9/2/12,2,21,5.15,0.17,23780,231,6,44,9/11/09,1289
9/2/12,19,21,2.68,0,24811,178,3,19,1/12/10,1166
9/2/12,3,7,2.98,0,10818,110,0,18,9/12/09,1288
9/2/12,35,17,4.03,0.05,27407,141,4,48,6/14/10,1013
9/2/12,Reg3,10,2.12,0,9166,26,0,6,9/20/09,1280
9/2/12,Reg2,11,2.28,0,19069,31,4,8,9/20/09,1280
9/2/12,31,0,0,0,4615,52,1,3,3/28/10,1091
9/2/12,R6,1,0.08,0,2189,10,0,2,3/3/11,751
9/2/12,4,10,3.11,0,11754,56,3,12,9/19/09,1281
9/2/12,9a,8,3.64,0,15061,129,0,25,10/6/09,1264
9/2/12,R3,6,10.9,0.01,2805,18,0,0,2/25/11,757
9/2/12,43,18,3.18,0.11,25256,292,4,33,11/7/10,867
9/2/12,11a,24,4.62,0.04,47383,259,13,57,10/13/09,1257
9/2/12,R4,7,5.14,0,4732,33,0,5,2/28/11,754
9/2/12,R9,1,0.87,0,3544,8,0,12,4/10/11,713
9/2/12,Sunk,9,3.17,0,5532,26,0,3,7/16/10,981
9/2/12,E21,12,2.9,0.08,5453,30,0,16,4/18/11,705
9/3/12,31,2,5.06,0,4615,52,1,3,3/28/10,1091
